,year,month,min,max,mean,median,std
0,1920,11,97.94300079,298.9410095,192.8567817,187.3904953,50.44318575
0,1920,12,134.6840057,344.2850037,234.4740132,229.8580017,56.18279217
0,1921,1,140.0769958,426.803009,269.8589749,268.0579987,75.57815198
0,1921,2,33.45100021,137.2969971,95.21368334,96.79000092,29.36996159
0,1921,3,56.70399857,197.6649933,122.3779391,123.1689987,35.23242597
0,1921,4,11.03199959,33.41699982,20.44439022,20.30650043,6.227347397
0,1921,5,34.75999832,119.5439987,69.2264509,67.31399918,21.27445664
0,1921,6,1.067000031,25.88199997,10.9609146,8.635499954,8.249090036
0,1921,7,0,0,0,0,0
0,1921,8,0,0,0,0,0
0,1921,9,2.085000038,8.583000183,5.392878047,4.900499821,1.80677233
0,1921,10,9.519000053,38.58499908,24.22764649,23.84600067,7.711572569
0,1921,11,34.61500168,60.31000137,42.09706092,40.92200089,5.588456219
0,1921,12,138.7669983,349.1239929,246.7802688,245.1629944,55.40292675
0,1922,1,70.56199646,166.4889984,115.4781094,116.461998,27.0905836
0,1922,2,155.7160034,442.8370056,319.4002438,323.8589935,82.33221327
0,1922,3,70.97399902,297.9639893,186.3252071,189.8235016,55.60681945
0,1922,4,16.85400009,62.59799957,32.65778039,30.22899914,10.3607434
0,1922,5,25.57999992,120.9589996,64.92853669,61.83699989,22.62412522
0,1922,6,1.962000012,22.72299957,8.798670735,6.67750001,5.599850648
0,1922,7,0,30.18700027,2.393146325,0,5.56682135
0,1922,8,0,0.001,1.22E-05,0,0.000109756
0,1922,9,0,0,0,0,0
0,1922,10,32.77600098,70.58399963,56.12730482,57.6345005,8.539791014
0,1922,11,104.0910034,246.3890076,181.9930727,191.5424957,34.72348257
0,1922,12,206.5119934,549.7420044,383.2045119,383.5980072,87.64874906
0,1923,1,82.97000122,290.3540039,184.8501211,186.5065002,51.53454917
0,1923,2,21.99200058,84.86399841,52.67630493,53.6364994,14.94816944
0,1923,3,2.23300004,20.56599998,10.41009751,9.965499878,5.157306684
